年份,森林覆蓋損失（公頃）,所有氣體的總碳排放量（以CO₂當量計算，公噸）,因火災導致的樹木覆蓋損失（公頃）
2001,88.09271247,23242.62227,12.24929371
2001,101220.6215,37479550.61,888.6945611
2001,3.878460708,649.5610848,0
2001,396.9348257,74296.55392,8.129860985
2001,3729.021031,1365789.74,754.5549943
2001,1.654212948,566.6468184,0.285373012
2001,147805.9504,32625004.46,7972.718403
2001,131.8406123,39949.73419,28.98565124
2001,24.07418944,7212.162248,0.368163987
2001,218816.3021,28222182.93,154497.154
2001,6926.269008,2789699.045,63.69590211
2001,553.2993561,156502.2262,102.6672525
2001,1417.246957,486973.4132,0.614435098
2001,971.4881953,420174.1525,10.19918555
2001,3749.331105,1119344.32,8.461169358
2001,3.031857253,277.4906778,0
2001,59.47710511,252746.1371,0
2001,4586.997203,2293885.114,119.0778104
2001,8202.319112,2099766.383,2588.538491
2001,432.9994197,90132.63408,71.08703236
2001,1496.107105,496454.3421,620.795727
2001,18358.96428,4985186.648,339.6969632
2001,8211.629493,3626172.817,1289.197612
2001,0.195819794,62.84709498,0
2001,140321.2605,63470048.77,11430.09796
2001,2746361.557,1194228307,127418.5393
2001,12.36746156,3432.534979,0.524635114
2001,1244.453823,757789.6149,53.21603476
2001,297.6596315,157126.0211,28.09743365
2001,130.9838815,24757.63881,3.553408238
2001,31282.43685,14207620.39,303.1105737
2001,1358154.799,419196844.9,520947.7121
2001,1165.213247,540278.2545,13.16476191
2001,72711.30281,21209276.28,3148.508897
2001,230289.1153,87779006.33,
2001,122711.4502,46812750.5,608.670407
2001,39203.71718,19447536.81,135.0208878
2001,455516.739,254244885.6,7540.415647
2001,27030.69622,14019383.15,680.6041946
2001,230054.8357,112949017,9995.102972
2001,36.97369321,17571.61329,0.225947945
2001,7.136450794,0,1.264449731
2001,15461.87945,7007147.662,486.7864544
2001,18942.90878,5483739.583,989.8441378
2001,0.902788526,200.821721,0.075225039
2001,20.6816122,4935.912548,0.362984597
2001,78.62890207,13156.4652,41.24433561
2001,3460.142586,1315253.138,75.6086082
2001,15286.38057,6146136.996,165.5573545
2001,22.79275551,13258.79094,0.371002389
2001,4329.295853,1038398.212,129.5238683
2001,11246.81007,4220410.808,1110.62097
2001,3468.760252,821888.0729,2377.750525
2001,45002.46871,25016527.71,3394.187427
2001,147.7649427,44798.12255,17.00225301
2001,2.529524333,990.5161564,0.892756149
2001,32811.05352,9526959.227,7522.055904
2001,16872.43451,3712196.195,200.9310489
2001,11947.24724,5314032.742,48.16398035
2001,151003.2605,28037721.92,2066.713802
2001,1097.764054,537214.5906,22.98367063
2001,34420.96339,12639867.8,1602.153341
2001,15082.63773,8545503.784,180.8810327
2001,23244.12725,8338867.313,2742.570817
2001,666.5563666,242408.5658,61.80836734
2001,0.957678036,234.7266059,0.050414221
2001,43644.05617,17143533.96,101.6580251
2001,0.187285637,45.20122926,0
2001,18571.52586,6624018.687,104.7397149
2001,320.7023856,117861.6288,3.031383899
2001,3.297421863,3288.249414,0
2001,2362.153028,732238.09,2.634593182
2001,3585.419101,2162379.453,7.612227418
2001,12616.82202,2370989.406,6902.147463
2001,32.81085887,17856.39227,0.075240976
2001,53310.17515,21983389.74,3477.468036
2001,3033.287749,2242450.63,196.7156678
2001,10039.86771,6340581.409,2923.336047
2001,7.981291214,3430.352356,0.284980306
2001,42380.17446,17874029.62,3128.64562
2001,3378.489604,1115452.126,688.9521969
2001,2469.048298,866799.3986,189.027645
2001,7522.059332,2593965.986,96.82719036
2001,744087.9891,491971247.6,36584.07479
2001,15.97543762,4023.936392,3.357041069
2001,62361.1745,31088425.41,2011.99681
2001,9559.474141,4002283.127,597.9833643
2001,332.4837054,79007.30318,62.84616548
2001,16.02663642,4380.309439,2.267511666
2001,145.9652381,32148.47604,16.52634444
2001,9871.496932,2625475.782,706.9286461
2001,1246.241523,604732.7148,28.05902341
2001,3.696338871,1334.481392,0.303819953
2001,0.522028031,128.8148731,0
2001,23977.46162,8852675.781,763.161523
2001,4534.702741,1046734.182,1169.958089
2001,19027.21105,8923501.918,36.51739675
2001,589.226356,131833.9127,226.8600644
2001,28491.44387,14347367.31,1054.648449
2001,45.60965868,18773.40373,1.177028532
2001,5503.445335,1351803.231,647.7419125
2001,36474.65075,18485247.93,123.7408599
2001,299.4042676,74833.02677,25.6995691
2001,29185.67018,13222688.9,303.9712256
2001,17.15270152,3934.289428,7.731218527
2001,31.08046321,14720.9491,1.793460508
2001,3.423943212,1685.743631,0.158040248
2001,3759.510363,1394091.806,73.46096684
2001,1.140052131,374.9441734,0
2001,7961.687395,2073082.969,113.4825803
2001,68.60969197,30504.56168,0.65116962
2001,24907.62112,6198743.604,201.8810314
2001,1.428070339,0,0
2001,2.123655985,741.4102498,0.219694592
2001,1868.288606,504810.0074,569.7791036
2001,146.6880607,36277.78784,11.64532981
2001,86956.8327,42097202.67,2025.337708
2001,4.743487262,364.7016365,0
2001,158302.9885,51553742.23,13288.02116
2001,2059.864143,605613.6083,405.419176
2001,347.8706881,164508.1906,0.224969691
2001,1.251912538,300.0081159,0.06260556
2001,44804.23913,22725812.39,1130.501665
2001,858.4920805,319633.058,216.4246109
2001,21056.72264,4629283.221,11973.38785
2001,60936.64968,19891960.36,522.9708635
2001,31.83843537,8044.754278,0.221104337
2001,7.078555306,2830.592994,0.294899513
2001,192.9652483,90372.30301,4.022255047
2001,156.5813835,82037.00325,0
2001,2488.28077,950437.9,5.341810082
2001,332497.4245,133004214.4,4872.015698
2001,31.30269367,15838.43733,0
2001,417.5124607,91063.28684,2.172941493
2001,697.9210994,270753.4151,57.00113922
2001,0.150195665,25.5985313,0
2001,43386.49462,14437939.47,117.7598641
2001,44109.79205,20267481.56,1551.181628
2001,736.4216234,259404.3022,17.87650657
2001,22445.9414,4451249.953,1066.198223
2001,1523.194752,854431.0949,197.9901115
2001,50528.28239,20588327.67,1128.345802
2001,217.7703951,72047.84426,69.84654125
2001,18264.10741,9346874.494,508.4661028
2001,86013.86649,52807209.38,4890.075302
2001,35165.1917,18820546.66,478.3212987
2001,52.11206112,37863.09223,2.05982917
2001,36005.1351,25219368.96,1185.622542
2001,19066.10208,5463951.821,232.1939354
2001,1252.362231,529425.5089,14.1289311
2001,11945.60949,2487198.872,5481.158605
2001,24405.37982,6182133.427,4291.380479
2001,150238.7329,36818855.79,8501.150212
2001,2.219302278,524.3781691,0.131587685
2001,28.61721413,14474.40628,0
2001,17535.52879,6763983.023,464.689065
2001,1826602.995,288121865.7,1161207.295
2001,1516.766321,607721.864,1.691727825
2001,26.94295316,8160.719582,0.07558568
2001,70.59427485,38766.04293,0
2001,43.45389467,13117.24996,0
2001,2187.117444,1590854.33,29.80886689
2001,18596.4253,7045594.681,76.68178744
2001,9499.391624,3460118.979,208.9579278
2001,339.3039459,80100.3972,1.149427915
2001,2379.5834,938537.6062,164.4604079
2001,4906.033993,1305421.7,38.71599202
2001,77.22190502,46576.80546,0
2001,3688.947052,2674768.737,272.5337764
2001,3897.393159,1544277.852,92.49086124
2001,615.4603105,255689.7686,8.13098185
2001,144927.2266,27572321.17,1843.892967
2001,6734.853711,3774686.993,44.10780785
2001,1.318283677,1061.853049,0.439431891
2001,0.379574768,120.3808408,0
2001,267.2352947,64831.51515,53.28465386
2001,7.72720305,1369.884581,0.214612486
2001,883.6264799,367991.8922,0.608254058
2001,2776.230616,742037.4164,7.624782946
2001,36101.94359,18368307.09,270.4476745
2001,61.53772785,15563.04061,9.725745092
2001,46.21279329,10810.62344,4.178397935
2001,677.4261599,387975.2721,43.3293014
2001,1829.096035,873445.1052,71.82454004
2001,230.6704347,59031.88712,52.70826183
2001,22910.00549,5258788.193,2106.725159
2001,1159.068116,587435.9594,19.98592869
2001,82214.20404,29303449.8,510.3202299
2001,29658.94722,11560010.56,15.91605018
2001,28826.3802,8938030.487,1253.868654
2001,2.11971068,0,0
2001,7647.452723,1749314.749,329.7433863
2001,1943318.744,622169484.3,308757.3554
2001,294.820902,66760.11202,74.23551106
2001,6.896545779,3432.118951,0.075027145
2001,123881.1441,50367335.83,16571.75368
2001,4.092501168,1601.158512,0.219250435
2001,122.5133707,45290.39945,2.347505886
2001,47433.13018,23021538.75,738.9193086
2001,124.3332979,70389.41171,1.329722162
2001,1.648989262,382.7123224,0.190614644
2001,9.735251157,352.2385459,0.989772081
2001,1122.205429,444640.9008,110.4344109
2001,17.66158322,4908.941633,0.378227853
2001,77644.6906,37428338.44,2357.811575
2001,30123.7271,12200217.47,75.71984941
2001,8205.934185,3098888.094,25.70660289
2002,0.526107732,27.98871114,0.150316363
2002,178.6403638,38859.82547,96.30441154
2002,61034.22727,20299187.04,626.4541231
2002,0.146329651,29.61057526,0
2002,277.8198771,55005.40652,2.77376821
2002,889.5171155,338698.0114,148.7740739
2002,1.255022224,507.4926269,0.056952716
2002,105001.8622,25377671.38,7442.039892
2002,172.5385912,51702.62749,35.57348758
2002,17.65604165,5276.164718,0.734584058
2002,312150.1627,36670865.83,235574.3467
2002,10902.14988,4486380.052,216.633921
2002,1154.205943,285679.3485,91.16603878
2002,986.9362126,312855.442,0.998039533
2002,2348.390596,1088407.001,59.77918097
2002,3480.187346,970534.211,7.175379077
2002,2.106457457,576.22501,0
2002,4.3029109,146834.345,0
2002,3995.287574,1924878.799,50.31124424
2002,4638.738812,1278743.273,736.321573
2002,700.9761365,197148.01,220.8943276
2002,692.6588558,267085.0897,80.55569215
2002,25383.4157,6914767.28,1371.844915
2002,13473.73051,6185804.111,2518.019459
2002,0.717959402,206.1176439,0
2002,178807.9712,79888221.05,17023.86769
2002,3507049.44,1624101190,179608.7586
2002,11.39198156,3343.753575,0.299789799
2002,1088.845597,664729.5703,46.46637941
2002,223.9348815,122483.8388,19.24491566
2002,22.78899863,3893.76859,0.073335151
2002,34417.72161,15614935.57,349.6383671
2002,2316887.665,838727146.3,1316753.789
2002,881.3039027,409052.0213,21.68550407
2002,78080.97298,23258513.86,10400.28306
2002,249150.9601,95736746.08,38670.85088
2002,144559.9075,55683832.07,354.3374436
2002,28766.95157,14836148.57,72.78535809
2002,514476.6882,278817380.5,4150.739093
2002,24310.14238,12543812.36,315.1394661
2002,182229.1524,96378010.31,8258.484205
2002,41.20393423,22498.36622,1.355535033
2002,22.8340031,0,2.752525348
2002,13289.14909,6188298.145,400.4261215
2002,15035.84738,4104675.386,5908.662199
2002,1.279283688,326.7395321,0.150515936
2002,5.598244417,1503.891342,0
2002,31.74324402,7055.835847,5.010473122
2002,6766.437908,2734314.749,52.23241467
2002,15303.26237,6466765.744,261.2812385
2002,11.87470804,6881.684978,0.370929393
2002,1204.489939,292171.777,10.0827367
2002,10435.97987,3792629.741,444.7443285
2002,3009.833121,739994.1409,1618.310178
2002,29817.73772,17772196.96,2006.557403
