iso,umd_tree_cover_loss__year,umd_tree_cover_loss__ha,gfw_gross_emissions_co2e_all_gases__Mg,umd_tree_cover_loss_from_fires__ha,国家,大洲
AGO,2001,101220.6215,37479550.61,888.6945611,安哥拉,非洲
ARG,2001,147805.9504,32625004.46,7972.718403,阿根廷,南美洲
AUS,2001,218816.3021,28222182.93,154497.154,澳大利亚,大洋洲
AUT,2001,6926.269008,2789699.045,63.69590211,奥地利,欧洲
BEN,2001,3749.331105,1119344.32,8.461169358,贝宁,非洲
BFA,2001,59.47710511,252746.1371,0.0,布基纳法索,非洲
BGD,2001,4586.997203,2293885.114,119.0778104,孟加拉国,亚洲
BLR,2001,18358.96428,4985186.648,339.6969632,白俄罗斯,欧洲
BLZ,2001,8211.629493,3626172.817,1289.197612,伯利兹,北美洲
BOL,2001,140321.2605,63470048.77,11430.09796,玻利维亚,南美洲
BRA,2001,2746361.557,1194228307.0,127418.5393,巴西,南美洲
CAF,2001,31282.43685,14207620.39,303.1105737,中非共和国,非洲
CAN,2001,1358154.799,419196844.9,520947.7121,加拿大,北美洲
CHL,2001,72711.30281,21209276.28,3148.508897,智利,南美洲
CHN,2001,230289.1153,87779006.33,,中国,亚洲
CIV,2001,122711.4502,46812750.5,608.670407,科特迪瓦,非洲
CMR,2001,39203.71718,19447536.81,135.0208878,喀麦隆,非洲
COD,2001,455516.739,254244885.6,7540.415647,刚果民主共和国,非洲
COG,2001,27030.69622,14019383.15,680.6041946,刚果共和国,非洲
COL,2001,230054.8357,112949017.0,9995.102972,哥伦比亚,南美洲
CRI,2001,15461.87945,7007147.662,486.7864544,哥斯达黎加,北美洲
CUB,2001,18942.90878,5483739.583,989.8441378,古巴,北美洲
CZE,2001,3460.142586,1315253.138,75.6086082,捷克共和国,欧洲
DEU,2001,15286.38057,6146136.996,165.5573545,德国,欧洲
DOM,2001,11246.81007,4220410.808,1110.62097,多米尼加共和国,北美洲
ECU,2001,45002.46871,25016527.71,3394.187427,厄瓜多尔,南美洲
ESP,2001,32811.05352,9526959.227,7522.055904,西班牙,欧洲
EST,2001,16872.43451,3712196.195,200.9310489,爱沙尼亚,欧洲
ETH,2001,11947.24724,5314032.742,48.16398035,埃塞俄比亚,非洲
FIN,2001,151003.2605,28037721.92,2066.713802,芬兰,欧洲
FRA,2001,34420.96339,12639867.8,1602.153341,法国,欧洲
GAB,2001,15082.63773,8545503.784,180.8810327,加蓬,非洲
GBR,2001,23244.12725,8338867.313,2742.570817,英国,欧洲
GHA,2001,43644.05617,17143533.96,101.6580251,加纳,非洲
GIN,2001,18571.52586,6624018.687,104.7397149,几内亚,非洲
GNB,2001,2362.153028,732238.09,2.634593182,几内亚比绍,非洲
GRC,2001,12616.82202,2370989.406,6902.147463,希腊,欧洲
GTM,2001,53310.17515,21983389.74,3477.468036,危地马拉,北美洲
GUY,2001,10039.86771,6340581.409,2923.336047,圭亚那,南美洲
HND,2001,42380.17446,17874029.62,3128.64562,洪都拉斯,北美洲
HRV,2001,3378.489604,1115452.126,688.9521969,克罗地亚,欧洲
HUN,2001,7522.059332,2593965.986,96.82719036,匈牙利,欧洲
IDN,2001,744087.9891,491971247.6,36584.07479,印度尼西亚,亚洲
IND,2001,62361.1745,31088425.41,2011.99681,印度,亚洲
IRL,2001,9559.474141,4002283.127,597.9833643,爱尔兰,欧洲
ITA,2001,9871.496932,2625475.782,706.9286461,意大利,欧洲
