iso,umd_tree_cover_loss__year,umd_tree_cover_loss__ha,gfw_gross_emissions_co2e_all_gases__Mg,umd_tree_cover_loss_from_fires__ha,国家,大洲
AFG,2001,88.09271247,23242.62227,12.24929371,阿富汗,亚洲
AGO,2001,101220.6215,37479550.61,888.6945611,安哥拉,非洲
AIA,2001,3.878460708,649.5610848,0,安圭拉,北美洲
ALA,2001,396.9348257,74296.55392,8.129860985,奥兰群岛,欧洲
ALB,2001,3729.021031,1365789.74,754.5549943,阿尔巴尼亚,欧洲
AND,2001,1.654212948,566.6468184,0.285373012,安道尔,欧洲
ARG,2001,147805.9504,32625004.46,7972.718403,阿根廷,南美洲
ARM,2001,131.8406123,39949.73419,28.98565124,亚美尼亚,亚洲
ATG,2001,24.07418944,7212.162248,0.368163987,安提瓜和巴布达,北美洲
AUS,2001,218816.3021,28222182.93,154497.154,澳大利亚,大洋洲
AUT,2001,6926.269008,2789699.045,63.69590211,奥地利,欧洲
AZE,2001,553.2993561,156502.2262,102.6672525,阿塞拜疆,亚洲
BDI,2001,1417.246957,486973.4132,0.614435098,布隆迪,非洲
BEL,2001,971.4881953,420174.1525,10.19918555,比利时,欧洲
BEN,2001,3749.331105,1119344.32,8.461169358,贝宁,非洲
BES,2001,3.031857253,277.4906778,0,博内尔、圣尤斯特歇斯和萨巴,南美洲
BFA,2001,59.47710511,252746.1371,0,布基纳法索,非洲
BGD,2001,4586.997203,2293885.114,119.0778104,孟加拉国,亚洲
BGR,2001,8202.319112,2099766.383,2588.538491,保加利亚,欧洲
BHS,2001,432.9994197,90132.63408,71.08703236,巴哈马,北美洲
BIH,2001,1496.107105,496454.3421,620.795727,波斯尼亚和黑塞哥维那,欧洲
BLR,2001,18358.96428,4985186.648,339.6969632,白俄罗斯,欧洲
BLZ,2001,8211.629493,3626172.817,1289.197612,伯利兹,北美洲
BMU,2001,0.195819794,62.84709498,0,百慕大,北美洲
BOL,2001,140321.2605,63470048.77,11430.09796,玻利维亚,南美洲
BRA,2001,2746361.557,1194228307,127418.5393,巴西,南美洲
BRB,2001,12.36746156,3432.534979,0.524635114,巴巴多斯,北美洲
BRN,2001,1244.453823,757789.6149,53.21603476,文莱,亚洲
BTN,2001,297.6596315,157126.0211,28.09743365,不丹,亚洲
BWA,2001,130.9838815,24757.63881,3.553408238,博茨瓦纳,非洲
CAF,2001,31282.43685,14207620.39,303.1105737,中非共和国,非洲
CAN,2001,1358154.799,419196844.9,520947.7121,加拿大,北美洲
CHE,2001,1165.213247,540278.2545,13.16476191,瑞士,欧洲
